epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,118.71,1.39597,1.37477,0.98479,0.4152,0.32125,0.31404,0.18721,1.25254,0.982,0.91383,0.0700741,0.0033251,0.0033251
2,227.337,1.43745,1.11723,0.96901,0.41768,0.32326,0.31378,0.185,1.3104,1.0141,0.92858,0.0400521,0.00663646,0.00663646
3,333.752,1.51584,1.17878,0.99169,0.41532,0.28754,0.28629,0.16068,1.40383,1.09072,0.94802,0.0100081,0.00992582,0.00992582
4,439.278,1.53876,1.19415,0.99468,0.40659,0.29893,0.29637,0.16926,1.38284,1.06391,0.9498,0.009901,0.009901,0.009901
5,544.545,1.49893,1.14093,0.98849,0.42499,0.31559,0.31115,0.17989,1.34705,1.02857,0.93724,0.009868,0.009868,0.009868
6,650.836,1.45122,1.09899,0.97175,0.43932,0.32577,0.32575,0.19062,1.31748,0.98835,0.93549,0.009835,0.009835,0.009835
